,s02-h2_block1_11103_14584_F,s02-h2_block1_202352_205442_F,s02-h2_block1_329100_332133_F,s02-h2_block1_353703_356725_F,s02-h2_block1_377192_380153_F,s02-h2_block1_583363_586584_F,s03-h1_block1_11397_14848_F,s03-h1_block1_178321_181376_F,s03-h1_block1_398623_401633_F,s03-h1_block1_423182_426216_F,s03-h1_block1_447307_450501_F,s03-h1_block1_457750_460964_F,s03-h1_block1_481791_484792_F,s03-h1_block1_505876_509070_F,s03-h1_block1_529729_532724_F,s03-h1_block1_553669_556787_F,s03-h2_block1_11105_13194_F,s03-h2_block1_177184_181580_F,s03-h2_block1_186228_188622_F,s03-h2_block1_188624_190562_F,s03-h2_block1_195311_197624_F,s03-h2_block1_197626_199663_F,s03-h2_block1_206958_208803_F,s03-h2_block1_427214_429013_F,s03-h2_block1_451741_453581_F,s03-h2_block1_475892_479072_F,s03-h2_block1_486334_489519_F,s03-h2_block1_496777_498763_F,s03-h2_block1_520620_523809_F,s03-h2_block1_531067_533044_F,s03-h2_block1_554909_556895_F,s03-h2_block1_578861_580726_F,s03-h2_block1_603008_604967_F,s03-h2_block1_626951_630070_F,s01-h1_block1_11396_13486_F,s01-h1_block1_177894_182290_F,s01-h1_block1_186938_189332_F,s01-h1_block1_189334_191272_F,s01-h1_block1_196021_198334_F,s01-h1_block1_198336_200373_F,s01-h1_block1_207668_209513_F,s01-h1_block1_427924_429723_F,s01-h1_block1_452451_454291_F,s01-h1_block1_476602_479782_F,s01-h1_block1_487044_490229_F,s01-h1_block1_497487_499473_F,s01-h1_block1_521330_524519_F,s01-h1_block1_531777_533754_F,s01-h1_block1_555619_557605_F,s01-h1_block1_579571_581436_F,s01-h1_block1_603718_605677_F,s01-h1_block1_627661_630780_F,s04-h1_block1_11396_13430_F,s04-h1_block1_175937_180333_F,s04-h1_block1_184981_187375_F,s04-h1_block1_187377_189408_F,s04-h1_block1_196708_198548_F,s04-h1_block1_416547_418340_F,s04-h1_block1_440506_443673_F,s04-h1_block1_447923_449861_F,s04-h1_block1_472119_474103_F,s04-h1_block1_496160_499186_F,s04-h2_block1_11397_14886_F,s04-h2_block1_187530_190592_F,s04-h2_block1_407658_410689_F,s04-h2_block1_432199_435237_F,s04-h2_block1_456308_459498_F,s04-h2_block1_466940_469961_F,s04-h2_block1_490875_493725_F,s04-h2_block1_514854_517875_F,s04-h2_block1_525291_528507_F,s04-h2_block1_549142_552064_F,s04-h2_block1_573096_576215_F,s02-h1_block1_10875_16150_F,s02-h1_block1_204595_209382_F,s02-h1_block1_331337_336051_F,s02-h1_block7_355338_359613_F,s02-h1_block7_562906_567558_F,s01-h2_block1_11399_13484_F,s01-h2_block1_177486_181882_F,s01-h2_block1_186530_188887_F,s01-h2_block1_188926_190864_F,s01-h2_block1_195613_197889_F,s01-h2_block1_197928_199965_F,s01-h2_block1_204659_207020_F,s01-h2_block1_207261_209105_F,s01-h2_block1_231975_233784_F,s01-h2_block1_256093_259273_F,s01-h2_block1_266535_269720_F,s01-h2_block1_276978_278954_F,s01-h2_block1_300821_304010_F,s01-h2_block1_311268_313235_F,s01-h2_block1_335110_337086_F,s01-h2_block1_358960_360929_F,s01-h2_block1_382901_386019_F
s04-h1_block1_440506_443673_F,86.43,86.95,84.82,95.55,81.81,83.51,86.75,87.38,85.22,97.08,99.58,98.87,96.76,99.19,96.31,80.24,73.83,42.22,30.85,72.24,31.86,72.73,75.13,75.15,82.54,99.49,99.34,84.18,99.45,84.29,84.36,82.92,83.84,80.15,73.85,42.22,30.85,72.24,31.86,72.73,75.13,75.15,82.54,99.49,99.34,84.18,99.45,84.29,84.36,82.92,83.84,80.15,73.34,42.14,30.85,72.8,75.19,75.24,100.0,83.79,83.83,81.31,86.28,87.16,84.93,97.22,99.69,97.02,94.87,97.66,98.71,95.25,80.17,64.13,65.84,64.14,65.54,66.58,73.82,42.22,31.31,72.24,32.32,72.73,31.26,75.14,82.15,99.49,99.34,84.06,99.45,84.18,84.24,83.79,80.19
s04-h1_block1_447923_449861_F,74.27,74.69,72.72,81.29,73.51,75.48,74.56,75.19,72.96,83.0,83.52,83.48,82.57,83.68,86.77,71.7,88.61,56.82,46.13,86.85,47.13,87.35,89.84,88.0,98.15,83.65,83.79,98.72,83.59,98.83,98.67,98.99,98.93,71.45,88.63,56.82,46.13,86.85,47.13,87.35,89.84,88.0,98.15,83.65,83.79,98.72,83.59,98.83,98.67,98.99,98.93,71.45,88.13,56.76,46.13,87.42,89.91,88.09,83.79,100.0,98.91,72.6,74.08,75.0,72.7,82.96,83.51,82.18,82.57,85.68,83.43,87.64,71.45,51.96,53.6,52.01,57.03,57.71,88.6,56.82,46.59,86.85,47.59,87.35,46.54,89.86,97.76,83.65,83.79,98.6,83.59,98.71,98.57,99.27,71.46
s04-h1_block1_472119_474103_F,74.51,75.07,72.98,80.63,73.98,75.9,74.79,75.5,73.28,82.92,84.0,83.88,82.52,84.11,86.67,72.23,88.92,57.1,45.56,87.13,46.56,87.62,90.23,88.32,98.09,84.11,84.23,99.11,84.06,98.99,99.11,97.99,99.69,71.98,88.94,57.1,45.56,87.13,46.56,87.62,90.23,88.32,98.09,84.11,84.23,99.11,84.06,98.99,99.11,97.99,99.69,71.98,88.43,57.04,45.56,87.69,90.29,88.4,83.83,98.91,100.0,73.14,74.32,75.34,73.01,82.86,83.94,81.49,81.62,86.12,83.77,87.79,72.01,52.19,53.97,52.24,57.53,58.14,88.91,57.1,46.02,87.13,47.02,87.62,45.97,90.24,97.7,84.11,84.23,99.02,84.06,98.91,99.03,99.27,72.02
s04-h1_block1_496160_499186_F,74.56,80.68,78.56,77.95,97.15,88.15,74.9,80.91,78.84,79.29,81.63,81.21,78.94,81.58,80.02,98.58,67.94,43.8,32.6,74.61,33.61,73.37,72.85,72.38,71.49,81.44,81.42,73.26,81.62,73.15,73.44,71.8,72.95,98.84,67.96,43.8,32.6,74.61,33.61,73.37,72.85,72.38,71.49,81.44,81.42,73.26,81.62,73.15,73.44,71.8,72.95,98.84,68.05,43.78,32.6,73.45,72.83,72.37,81.31,72.6,73.14,100.0,74.43,80.94,78.6,79.38,81.58,78.87,77.66,80.62,81.16,79.38,98.74,55.76,62.56,60.85,80.92,71.35,67.92,43.8,33.06,74.61,34.07,73.37,33.01,72.85,71.09,81.44,81.42,73.24,81.62,73.13,73.4,73.03,98.82
s04-h2_block1_11397_14886_F,99.6,81.63,80.47,84.59,76.3,77.14,99.53,81.62,80.8,84.92,86.46,86.81,84.52,86.46,84.25,73.52,82.54,37.55,26.85,67.66,27.86,68.19,68.95,69.32,72.99,86.26,86.46,74.49,86.31,74.43,74.39,73.37,74.11,73.4,82.52,37.55,26.85,67.66,27.86,68.19,68.95,69.32,72.99,86.26,86.46,74.49,86.31,74.43,74.39,73.37,74.11,73.4,81.91,37.53,26.85,68.27,69.01,69.41,86.28,74.08,74.32,74.43,100.0,81.34,80.51,85.02,86.49,84.91,82.93,84.56,86.85,83.42,73.44,77.59,61.29,59.81,60.15,61.49,82.49,37.55,27.31,67.66,28.32,68.19,27.26,68.96,72.65,86.26,86.46,74.39,86.31,74.33,74.29,74.32,73.44
s04-h2_block1_187530_190592_F,81.44,99.43,93.35,84.29,81.54,82.45,81.81,99.3,93.71,85.84,87.35,87.09,85.44,87.32,85.17,79.79,69.36,40.85,32.16,71.08,33.16,70.42,84.71,82.14,74.02,87.18,87.25,75.31,87.32,75.26,75.35,74.31,75.18,79.79,69.38,40.85,32.16,71.08,33.16,70.42,84.71,82.14,74.02,87.18,87.25,75.31,87.32,75.26,75.35,74.31,75.18,79.79,69.24,40.82,32.16,70.49,84.79,82.22,87.16,75.0,75.34,80.94,81.34,100.0,93.42,85.89,87.32,85.17,83.65,85.51,87.07,84.66,79.74,59.69,78.32,72.59,65.26,65.61,69.36,40.85,32.62,71.08,33.62,70.42,32.57,84.72,73.67,87.18,87.25,75.24,87.32,75.19,75.28,75.21,79.78
s04-h2_block1_407658_410689_F,80.32,93.65,99.75,83.22,80.31,80.11,80.24,93.06,99.69,83.72,85.15,85.28,83.33,85.13,83.1,77.65,66.99,37.75,32.54,67.98,33.55,67.32,79.44,84.52,71.63,85.0,85.03,72.85,85.08,72.79,72.89,72.0,72.83,77.56,67.01,37.75,32.54,67.98,33.55,67.32,79.44,84.52,71.63,85.0,85.03,72.85,85.08,72.79,72.89,72.0,72.83,77.56,66.87,37.75,32.54,67.4,79.47,84.61,84.93,72.7,73.01,78.6,80.51,93.42,100.0,83.77,85.12,83.36,81.65,83.24,85.36,82.3,77.55,60.37,75.04,78.32,65.27,65.64,66.96,37.75,33.0,67.98,34.01,67.32,32.95,79.45,71.27,85.0,85.03,72.78,85.08,72.72,72.83,72.94,77.58
s04-h2_block1_432199_435237_F,85.17,85.66,83.68,97.28,80.3,81.75,85.49,86.05,84.05,99.71,97.02,96.82,99.32,97.07,94.94,78.41,72.43,40.56,32.45,70.59,33.46,71.09,73.69,73.83,84.43,96.78,96.93,82.11,96.9,82.22,82.19,83.56,82.87,78.22,72.44,40.56,32.45,70.59,33.46,71.09,73.69,73.83,84.43,96.78,96.93,82.11,96.9,82.22,82.19,83.56,82.87,78.22,71.93,40.5,32.45,71.16,73.75,73.92,97.22,82.96,82.86,79.38,85.02,85.89,83.77,100.0,97.08,98.32,96.84,95.08,96.77,93.91,78.25,62.87,64.55,63.02,63.87,64.93,72.42,40.56,32.91,70.59,33.92,71.09,32.87,73.7,84.66,96.78,96.93,82.0,96.9,82.11,82.06,82.3,78.26
s04-h2_block1_456308_459498_F,86.64,87.13,85.03,95.46,82.1,83.6,86.96,87.57,85.41,96.92,99.84,99.13,96.59,99.43,96.35,80.48,73.88,42.22,30.57,72.24,31.57,72.73,75.15,75.19,82.29,99.6,99.45,84.29,99.71,84.25,84.47,82.65,83.72,80.42,73.9,42.22,30.57,72.24,31.57,72.73,75.15,75.19,82.29,99.6,99.45,84.29,99.71,84.25,84.47,82.65,83.72,80.42,73.36,42.14,30.57,72.8,75.21,75.28,99.69,83.51,83.94,81.58,86.49,87.32,85.12,97.08,100.0,96.9,94.63,97.82,98.97,95.41,80.45,64.34,66.03,64.35,65.8,66.81,73.87,42.22,31.03,72.24,32.03,72.73,30.98,75.16,81.9,99.6,99.45,84.16,99.71,84.13,84.35,83.9,80.46
s04-h2_block1_466940_469961_F,85.06,85.36,83.32,98.15,79.96,81.24,85.38,85.51,83.64,98.38,96.89,97.53,98.78,97.02,94.07,78.04,71.88,40.15,32.67,70.18,33.67,70.69,73.0,73.0,83.0,96.63,96.93,82.15,96.71,82.26,81.98,82.81,81.52,77.84,71.9,40.15,32.67,70.18,33.67,70.69,73.0,73.0,83.0,96.63,96.93,82.15,96.71,82.26,81.98,82.81,81.52,77.84,71.41,40.09,32.67,70.76,73.06,73.09,97.02,82.18,81.49,78.87,84.91,85.17,83.36,98.32,96.9,100.0,96.87,94.73,97.32,92.99,77.86,62.76,64.25,62.59,63.7,64.85,71.87,40.15,33.13,70.18,34.13,70.69,33.08,73.01,83.43,96.63,96.93,82.03,96.71,82.14,81.85,81.57,77.87
s04-h2_block1_490875_493725_F,83.1,83.37,81.62,96.81,78.48,80.77,83.41,83.77,81.94,97.0,94.59,94.49,97.38,94.74,94.83,76.63,71.8,39.8,34.79,69.83,35.8,70.33,72.89,73.2,83.05,94.74,94.79,81.39,94.53,81.5,81.45,83.23,81.64,76.51,71.81,39.8,34.79,69.83,35.8,70.33,72.89,73.2,83.05,94.74,94.79,81.39,94.53,81.5,81.45,83.23,81.64,76.51,71.31,39.74,34.79,70.4,72.95,73.29,94.87,82.57,81.62,77.66,82.93,83.65,81.65,96.84,94.63,96.87,100.0,94.05,94.46,93.72,76.52,60.78,62.26,61.02,62.13,63.01,71.78,39.8,35.25,69.83,36.26,70.33,35.2,72.9,83.48,94.74,94.79,81.27,94.53,81.38,81.33,81.99,76.54
s04-h2_block1_514854_517875_F,84.72,85.3,83.16,93.3,81.13,83.44,85.03,85.67,83.53,94.92,97.66,96.95,94.59,97.43,98.52,79.52,76.0,44.28,32.67,74.29,33.67,74.78,77.28,77.33,84.46,97.78,97.5,86.31,97.54,86.28,86.65,84.75,85.89,79.47,76.01,44.28,32.67,74.29,33.67,74.78,77.28,77.33,84.46,97.78,97.5,86.31,97.54,86.28,86.65,84.75,85.89,79.47,75.48,44.2,32.67,74.85,77.34,77.41,97.66,85.68,86.12,80.62,84.56,85.51,83.24,95.08,97.82,94.73,94.05,100.0,96.79,97.59,79.48,62.41,64.19,62.51,64.77,65.68,75.99,44.28,33.13,74.29,34.13,74.78,33.08,77.29,84.08,97.78,97.5,86.19,97.54,86.15,86.53,86.0,79.5
s04-h2_block1_525291_528507_F,86.99,87.27,85.3,95.7,82.34,83.44,87.32,87.41,85.64,96.71,99.08,99.69,96.31,99.14,96.28,80.34,73.81,42.05,30.24,72.08,31.25,72.59,74.87,75.0,81.99,98.82,99.19,84.64,98.86,84.52,84.2,82.55,83.47,80.12,73.82,42.05,30.24,72.08,31.25,72.59,74.87,75.0,81.99,98.82,99.19,84.64,98.86,84.52,84.2,82.55,83.47,80.12,73.33,41.99,30.24,72.67,74.93,75.09,98.71,83.43,83.77,81.16,86.85,87.07,85.36,96.77,98.97,97.32,94.46,96.79,100.0,95.38,80.15,64.69,66.17,64.59,66.04,67.05,73.8,42.05,30.7,72.08,31.71,72.59,30.65,74.88,81.63,98.82,99.19,84.51,98.86,84.4,84.08,83.83,80.16
s04-h2_block1_549142_552064_F,83.59,84.38,82.26,92.22,80.27,82.55,83.89,84.8,82.57,93.95,95.45,95.36,93.52,95.57,98.79,78.43,77.32,45.42,33.9,75.45,34.9,75.95,78.51,78.79,85.94,95.6,95.71,87.5,95.38,87.38,87.5,86.76,87.5,78.22,77.33,45.42,33.9,75.45,34.9,75.95,78.51,78.79,85.94,95.6,95.71,87.5,95.38,87.38,87.5,86.76,87.5,78.22,76.79,45.36,33.9,76.02,78.57,78.88,95.25,87.64,87.79,79.38,83.42,84.66,82.3,93.91,95.41,92.99,93.72,97.59,95.38,100.0,78.23,61.28,63.27,61.65,63.84,64.79,77.3,45.42,34.36,75.45,35.36,75.95,34.31,78.52,85.56,95.6,95.71,87.37,95.38,87.26,87.37,88.05,78.26
s04-h2_block1_573096_576215_F,73.56,79.6,77.51,76.94,96.15,87.01,73.91,79.74,77.8,78.16,80.5,80.2,77.81,80.45,78.86,99.73,66.82,44.19,31.5,74.93,32.45,73.77,71.65,71.21,70.35,80.31,80.29,72.13,80.48,72.02,72.31,70.64,71.82,99.89,66.84,44.19,31.5,74.93,32.45,73.77,71.65,71.21,70.35,80.31,80.29,72.13,80.48,72.02,72.31,70.64,71.82,99.89,66.94,44.16,31.5,73.77,71.62,71.2,80.17,71.45,72.01,98.74,73.44,79.74,77.55,78.25,80.45,77.86,76.52,79.48,80.15,78.23,100.0,54.75,61.47,60.05,79.93,70.35,66.8,44.19,31.91,74.93,32.91,73.77,32.95,71.65,69.96,80.31,80.29,72.11,80.48,72.0,72.27,71.87,99.91
s02-h1_block1_10875_16150_F,77.66,59.98,60.39,62.46,55.97,56.81,77.13,59.59,60.14,62.77,64.35,64.65,62.37,64.33,62.11,54.88,60.3,20.29,4.65,50.75,5.66,51.29,47.43,47.83,50.86,64.14,64.29,52.34,64.21,52.28,52.27,51.25,51.98,54.73,60.31,20.29,4.65,50.75,5.66,51.29,47.43,47.83,50.86,64.14,64.29,52.34,64.21,52.28,52.27,51.25,51.98,54.73,59.58,20.25,4.65,51.36,47.37,47.78,64.13,51.96,52.19,55.76,77.59,59.69,60.37,62.87,64.34,62.76,60.78,62.41,64.69,61.28,54.75,100.0,78.02,78.15,61.37,63.19,60.25,20.29,5.11,50.75,6.12,51.29,5.06,47.42,50.52,64.14,64.29,52.24,64.21,52.18,52.17,52.19,54.77
s02-h1_block1_204595_209382_F,61.13,78.87,74.99,64.03,62.62,62.65,60.98,77.82,74.78,64.46,66.05,66.14,64.06,65.97,63.78,61.53,47.98,23.65,10.71,54.34,11.72,53.69,63.28,60.89,52.68,65.88,65.88,53.93,65.99,53.88,54.0,52.9,53.81,61.53,48.0,23.65,10.71,54.34,11.72,53.69,63.28,60.89,52.68,65.88,65.88,53.93,65.99,53.88,54.0,52.9,53.81,61.53,47.86,23.62,10.71,53.76,63.23,60.85,65.84,53.6,53.97,62.56,61.29,78.32,75.04,64.55,66.03,64.25,62.26,64.19,66.17,63.27,61.47,78.02,100.0,92.44,68.53,69.27,47.98,23.65,11.17,54.34,12.18,53.69,11.12,63.27,52.33,65.88,65.88,53.86,65.99,53.81,53.92,53.82,61.52
s02-h1_block1_331337_336051_F,59.64,72.79,78.32,62.51,61.01,60.87,59.54,72.26,78.06,62.97,64.35,64.54,62.57,64.34,62.47,60.14,46.25,21.33,11.62,51.93,12.63,51.27,58.61,63.03,50.84,64.18,64.26,52.06,64.3,52.0,52.07,51.3,52.06,60.07,46.28,21.33,11.62,51.93,12.63,51.27,58.61,63.03,50.84,64.18,64.26,52.06,64.3,52.0,52.07,51.3,52.06,60.07,46.13,21.29,11.62,51.35,58.56,62.98,64.14,52.01,52.24,60.85,59.81,72.59,78.32,63.02,64.35,62.59,61.02,62.51,64.59,61.65,60.05,78.15,92.44,100.0,66.86,67.99,46.23,21.33,12.08,51.93,13.09,51.27,12.03,58.6,50.48,64.18,64.26,51.98,64.3,51.92,52.01,52.26,60.09
s02-h1_block7_355338_359613_F,60.15,65.49,65.25,63.7,82.68,72.54,59.98,65.28,65.13,63.73,65.85,66.0,63.33,65.68,64.46,79.95,52.53,26.36,17.08,57.15,18.09,55.92,57.15,56.74,55.95,65.73,65.84,57.69,65.83,57.58,57.53,56.31,57.35,79.91,52.54,26.36,17.08,57.15,18.09,55.92,57.15,56.74,55.95,65.73,65.84,57.69,65.83,57.58,57.53,56.31,57.35,79.91,52.63,26.31,17.08,56.0,57.13,56.73,65.54,57.03,57.53,80.92,60.15,65.26,65.27,63.87,65.8,63.7,62.13,64.77,66.04,63.84,79.93,61.37,68.53,66.86,100.0,76.58,52.5,26.36,17.54,57.15,18.55,55.92,17.49,57.15,55.55,65.73,65.84,57.66,65.83,57.55,57.49,57.51,79.95
s02-h1_block7_562906_567558_F,61.37,65.83,65.67,64.62,72.93,82.21,61.32,65.64,65.49,64.85,66.87,67.0,64.47,66.8,65.28,70.44,52.09,23.36,12.39,53.78,13.4,53.92,57.03,56.73,56.66,66.74,66.8,58.31,66.79,58.2,58.31,56.97,57.96,70.33,52.09,23.36,12.39,53.78,13.4,53.92,57.03,56.73,56.66,66.74,66.8,58.31,66.79,58.2,58.31,56.97,57.96,70.33,52.14,23.36,12.39,54.0,57.02,56.71,66.58,57.71,58.14,71.35,61.49,65.61,65.64,64.93,66.81,64.85,63.01,65.68,67.05,64.79,70.35,63.19,69.27,67.99,76.58,100.0,52.08,23.36,12.85,53.78,13.86,53.92,12.8,57.03,56.3,66.74,66.8,58.28,66.79,58.17,58.27,58.1,70.37
s01-h2_block1_11399_13484_F,82.55,69.09,66.97,71.06,68.85,69.87,82.96,69.57,67.22,72.37,73.86,73.76,71.97,73.9,76.22,66.89,99.95,55.07,44.3,85.17,45.31,85.71,84.49,82.26,87.87,74.01,74.08,89.05,73.83,88.99,88.9,88.14,88.96,66.76,99.91,55.07,44.3,85.17,45.31,85.71,84.49,82.26,87.87,74.01,74.08,89.05,73.83,88.99,88.9,88.14,88.96,66.76,99.3,55.03,44.3,85.78,84.55,82.35,73.82,88.6,88.91,67.92,82.49,69.36,66.96,72.42,73.87,71.87,71.78,75.99,73.8,77.3,66.8,60.25,47.98,46.23,52.5,52.08,100.0,55.07,44.76,85.17,45.77,85.71,44.71,84.5,87.48,74.01,74.08,89.17,73.83,89.11,89.02,89.04,66.8
s01-h2_block1_177486_181882_F,37.68,40.57,37.78,39.14,42.65,41.14,38.02,40.91,38.01,40.5,42.29,42.0,40.12,42.18,44.41,44.25,55.02,100.0,73.95,68.91,72.95,68.48,56.1,53.19,56.05,42.46,42.35,57.32,42.3,57.27,57.17,56.36,57.18,44.23,54.99,100.0,73.95,68.91,72.95,68.48,56.1,53.19,56.05,42.46,42.35,57.32,42.3,57.27,57.17,56.36,57.18,44.23,55.64,99.9,73.96,68.4,56.03,53.14,42.22,56.82,57.1,43.8,37.55,40.85,37.75,40.56,42.22,40.15,39.8,44.28,42.05,45.42,44.19,20.29,23.65,21.33,26.36,23.36,55.07,100.0,73.54,68.91,72.54,68.48,73.5,56.08,55.65,42.46,42.35,57.44,42.3,57.39,57.29,57.23,44.23
s01-h2_block1_186530_188887_F,27.41,32.27,32.98,33.11,33.87,30.64,27.78,32.7,33.26,32.96,30.98,30.73,33.37,30.98,33.45,31.92,44.71,73.54,99.54,46.59,98.67,45.36,47.74,48.32,47.81,31.15,31.09,45.99,31.04,46.1,45.99,47.5,46.33,31.91,44.7,73.54,99.54,46.59,98.67,45.36,47.74,48.32,47.81,31.15,31.09,45.99,31.04,46.1,45.99,47.5,46.33,31.91,45.39,73.52,99.5,45.43,47.81,48.39,31.31,46.59,46.02,33.06,27.31,32.62,33.0,32.91,31.03,33.13,35.25,33.13,30.7,34.36,31.91,5.11,11.17,12.08,17.54,12.85,44.76,73.54,100.0,46.59,98.98,45.36,97.08,47.76,48.19,31.15,31.09,46.12,31.04,46.23,46.12,46.2,31.92
s01-h2_block1_188926_190864_F,67.78,70.8,68.0,69.17,73.44,71.57,68.13,71.14,68.24,70.53,72.31,72.03,70.16,72.21,74.44,75.03,85.12,68.91,46.13,100.0,47.13,98.77,86.33,83.42,86.08,72.48,72.37,87.35,72.32,87.3,87.2,86.39,87.21,74.97,85.1,68.91,46.13,100.0,47.13,98.77,86.33,83.42,86.08,72.48,72.37,87.35,72.32,87.3,87.2,86.39,87.21,74.97,85.74,68.83,46.13,98.84,86.26,83.37,72.24,86.85,87.13,74.61,67.66,71.08,67.98,70.59,72.24,70.18,69.83,74.29,72.08,75.45,74.93,50.75,54.34,51.93,57.15,53.78,85.17,68.91,46.59,100.0,47.59,98.77,48.53,86.31,85.68,72.48,72.37,87.47,72.32,87.42,87.32,87.26,74.98
s01-h2_block1_195613_197889_F,28.42,33.28,33.98,34.12,34.88,31.65,28.79,33.71,34.27,33.97,31.98,31.73,34.38,31.98,34.46,32.93,45.72,72.54,98.52,47.59,99.54,46.36,48.75,49.32,48.81,32.16,32.09,47.0,32.04,47.11,47.0,48.5,47.33,32.91,45.71,72.54,98.52,47.59,99.54,46.36,48.75,49.32,48.81,32.16,32.09,47.0,32.04,47.11,47.0,48.5,47.33,32.91,46.4,72.53,98.51,46.44,48.81,49.4,32.32,47.59,47.02,34.07,28.32,33.62,34.01,33.92,32.03,34.13,36.26,34.13,31.71,35.36,32.91,6.12,12.18,13.09,18.55,13.86,45.77,72.54,98.98,47.59,100.0,46.36,97.95,48.76,49.2,32.16,32.09,47.12,32.04,47.23,47.12,47.21,32.93
s01-h2_block1_197928_199965_F,68.32,70.14,67.35,69.65,72.21,71.71,68.66,70.48,67.58,71.05,72.79,72.54,70.65,72.72,74.94,73.83,85.66,68.48,45.02,98.77,45.9,100.0,85.67,82.76,86.58,72.96,72.85,87.83,72.8,87.78,87.71,86.89,87.69,73.81,85.63,68.48,45.02,98.77,45.9,100.0,85.67,82.76,86.58,72.96,72.85,87.83,72.8,87.78,87.71,86.89,87.69,73.81,86.28,68.39,45.02,99.93,85.61,82.71,72.73,87.35,87.62,73.37,68.19,70.42,67.32,71.09,72.73,70.69,70.33,74.78,72.59,75.95,73.77,51.29,53.69,51.27,55.92,53.92,85.71,68.48,45.36,98.77,46.36,100.0,47.45,85.66,86.18,72.96,72.85,87.96,72.8,87.91,87.83,87.76,73.81
s01-h2_block1_204659_207020_F,27.36,32.22,32.93,33.06,33.82,30.59,27.73,32.65,33.21,32.91,30.93,30.68,33.33,30.93,33.4,32.94,44.66,73.5,97.54,48.53,98.41,47.45,47.69,48.27,47.76,31.1,31.04,45.94,30.99,46.05,45.94,47.45,46.28,32.96,44.65,73.5,97.54,48.53,98.41,47.45,47.69,48.27,47.76,31.1,31.04,45.94,30.99,46.05,45.94,47.45,46.28,32.96,45.34,73.49,97.53,47.37,47.76,48.34,31.26,46.54,45.97,33.01,27.26,32.57,32.95,32.87,30.98,33.08,35.2,33.08,30.65,34.31,32.95,5.06,11.12,12.03,17.49,12.8,44.71,73.5,97.08,48.53,97.95,47.45,100.0,47.71,48.14,31.1,31.04,46.07,30.99,46.18,46.07,46.15,32.96
s01-h2_block1_207261_209105_F,69.09,84.26,79.43,72.14,73.41,74.82,69.43,84.06,79.71,73.69,75.2,74.92,73.29,75.19,77.45,71.7,84.5,56.08,47.3,86.31,48.3,85.66,99.99,94.8,89.19,75.36,75.28,90.17,75.29,90.12,90.21,89.37,90.32,71.7,84.52,56.08,47.3,86.31,48.3,85.66,99.99,94.8,89.19,75.36,75.28,90.17,75.29,90.12,90.21,89.37,90.32,71.7,84.38,56.06,47.3,85.73,99.94,94.84,75.14,89.86,90.24,72.85,68.96,84.72,79.45,73.7,75.16,73.01,72.9,77.29,74.88,78.52,71.65,47.42,63.27,58.6,57.15,57.03,84.5,56.08,47.76,86.31,48.76,85.66,47.71,100.0,88.79,75.36,75.28,90.29,75.29,90.24,90.33,90.24,71.68
s01-h2_block1_231975_233784_F,72.83,73.42,71.25,82.56,72.0,74.06,73.13,73.85,71.54,84.67,81.86,81.72,84.35,81.95,84.61,70.12,87.5,55.65,47.73,85.68,48.74,86.18,88.78,86.58,99.56,81.96,82.01,96.92,81.89,97.03,96.97,98.62,97.99,69.93,87.51,55.65,47.73,85.68,48.74,86.18,88.78,86.58,99.56,81.96,82.01,96.92,81.89,97.03,96.97,98.62,97.99,69.93,87.0,55.59,47.73,86.25,88.84,86.66,82.15,97.76,97.7,71.09,72.65,73.67,71.27,84.66,81.9,83.43,83.48,84.08,81.63,85.56,69.96,50.52,52.33,50.48,55.55,56.3,87.48,55.65,48.19,85.68,49.2,86.18,48.14,88.79,100.0,81.96,82.01,97.04,81.89,97.15,97.09,97.33,69.97
s01-h2_block1_256093_259273_F,86.41,86.99,84.89,95.21,81.99,83.83,86.74,87.41,85.28,96.68,99.64,98.92,96.36,99.32,96.48,80.35,74.02,42.46,30.69,72.48,31.7,72.96,75.35,75.4,82.35,100.0,99.54,84.46,99.53,84.35,84.67,82.8,83.82,80.29,74.03,42.46,30.69,72.48,31.7,72.96,75.35,75.4,82.35,100.0,99.54,84.46,99.53,84.35,84.67,82.8,83.82,80.29,73.52,42.37,30.69,73.04,75.41,75.49,99.49,83.65,84.11,81.44,86.26,87.18,85.0,96.78,99.6,96.63,94.74,97.78,98.82,95.6,80.31,64.14,65.88,64.18,65.73,66.74,74.01,42.46,31.15,72.48,32.16,72.96,31.1,75.36,81.96,100.0,99.54,84.34,99.53,84.23,84.55,84.05,80.32
s01-h2_block1_266535_269720_F,86.59,86.99,84.97,95.34,82.1,83.78,86.94,87.48,85.32,96.92,99.49,99.38,96.54,99.25,96.59,80.47,74.1,42.35,30.63,72.37,31.63,72.85,75.26,75.31,82.37,99.54,100.0,84.77,99.42,84.66,84.46,82.88,83.93,80.26,74.11,42.35,30.63,72.37,31.63,72.85,75.26,75.31,82.37,99.54,100.0,84.77,99.42,84.66,84.46,82.88,83.93,80.26,73.6,42.29,30.63,72.93,75.33,75.4,99.34,83.79,84.23,81.42,86.46,87.25,85.03,96.93,99.45,96.93,94.79,97.5,99.19,95.71,80.29,64.29,65.88,64.26,65.84,66.8,74.08,42.35,31.09,72.37,32.09,72.85,31.04,75.28,82.01,99.54,100.0,84.65,99.42,84.54,84.34,84.16,80.3
